movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0212985,87000000,165092268,186600000
tt0213149,140000000,198542554,250678391
tt0213203,30000000,76507756,26783375
tt0213790,24000000,13616610,126602
tt0215129,16000000,68540777,51213501
tt0215750,68000000,51401758,45574512
tt0216216,82000000,34604280,61481197
tt0216772,13000000,1247949,0
tt0217505,100000000,77812000,115960504
tt0217630,20000000,15618626,2786080
tt0217756,24000000,12394327,58035
tt0217869,75000000,95011339,153106782
tt0218182,14000000,75228,0
tt0218619,17000000,3111545,1187596
tt0218839,10000000,18715392,2074164
tt0218922,42000000,16534221,18868099
tt0218967,60000000,75793305,48951778
tt0219653,54000000,33022767,14030858
tt0219854,65000000,69691949,40625631
tt0219952,63000000,10042516,847706
tt0219965,75000000,41575141,26056762
tt0220099,30000000,45554533,50605267
tt0220100,5000000,1057750,373656
tt0220506,13000000,30354442,7310413
tt0221027,53000000,52990775,30291521
tt0221218,30000000,18150259,5469350
tt0223897,40000000,33519628,22187783
tt0225071,53000000,24174218,5541388
tt0227445,68000000,71107711,43144443
tt0227538,35000000,112719001,35215179
tt0227984,27000000,5204007,7677598
tt0228333,28000000,8709640,5301192
tt0228750,65000000,32598931,30162074
tt0228786,14000000,594966,59508714
tt0229260,15000000,26437094,21300000
tt0230011,120000000,84056472,101997253
tt0230030,48000000,37886980,52496228
tt0230600,17000000,96522687,113424350
tt0231775,49000000,64186502,7000000
tt0232500,38000000,144533925,62750938
tt0233142,62000000,15749959,2970216
tt0233469,85000000,40077257,38305176
tt0234215,150000000,281576461,460269998
tt0234354,8000000,2036682,497690
tt0234829,34000000,19753553,18894
tt0235679,16000000,17052128,51359147
tt0236348,39000000,14271015,595000
tt0236388,13000000,38182790,0
tt0236493,57000000,66845033,81000000
tt0236784,21000000,13729742,14278720
tt0237534,29000000,11260096,59492808
tt0237572,35000000,19733089,9686202
tt0238112,57000000,25543895,36569000
tt0238546,35000000,30336800,15142310
tt0239395,60000000,93385515,107301977
tt0239948,22000000,19402030,6684676
tt0239949,25000000,5520393,6800000
